"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",30257223
"ATA","ATTURRA LIMITED","2021-12-22","Software & Services",216164776
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",112714504
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",21747766
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials",4326710935
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",11552537
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",84565474
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",41619477
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",8350195
"ATV","ACTIVEPORT GROUP LTD","2021-10-20","Software & Services",31935117
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",17460498
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",12857298
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",9224000
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",2350431492
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",95385303
"AUE","AURUM RESOURCES LIMITED","2021-11-02","Materials",5100000
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",14545185
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1206293849
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",3497788
"AUN","AURUMIN LIMITED","2020-12-09","Materials",12443402
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",25133064
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",7149389
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",103391815
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",29701217
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",32907595
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",61938049
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",73529380
"AVD","AVADA GROUP LIMITED","2021-12-17","Commercial & Professional Services",62278104
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",23892301
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",152846284
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",249920452
"AVJ","AVJENNINGS LIMITED","1994-01-27","Consumer Durables & Apparel",168585752
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",110163401
"AVLNC","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",110163401
"AVM","ADVANCE METALS LIMITED","2007-12-20","Materials",5220397
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",331420891
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",6401370
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials","N/A"
"AW1","AMERICAN WEST METALS LIMITED","2021-12-13","Materials",22053508
"AWC","ALUMINA LIMITED","1961-10-31","Materials",4497606196
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",9160171
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",31641884
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",947468828
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",8086721
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Semiconductors & Semiconductor Equipment",149380324
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",35915234
"AXP","AXP ENERGY LIMITED","2006-07-20","Energy",23298723
"AYA","ARTRYA LIMITED","2021-11-26","Health Care Equipment & Services",27833418
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",16421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",5527732
"AYT","AUSTIN METALS LIMITED","2011-07-06","Materials",9142872
"AZI","ALTAMIN LIMITED","2009-12-24","Materials",31337340
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",6939454012
"AZL","ARIZONA LITHIUM LIMITED","1971-07-08","Materials",156645161
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",70251273
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",71860817
"B4P","BEFOREPAY GROUP LIMITED","2022-01-17","Diversified Financials",25089632
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2250304875
"BAS","BASS OIL LIMITED","2004-09-30","Energy",17950457
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",10238348
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",60546897
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",107844695
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",357502196
"BBT","BLUEBET HOLDINGS LTD","2021-07-02","Consumer Services",74074454
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",41371325
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",73079320
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",12411794
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",567565622
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",20741261
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",321042308
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",213445339
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",101432741
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",17358350
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",8227472
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials","N/A"
"BDT","BIRDDOG TECHNOLOGY LIMITED","2021-12-20","Technology Hardware & Equipment",30692308
"BDX","BCAL DIAGNOSTICS LIMITED","2021-07-21","Pharmaceuticals, Biotechnology & Life Sciences",12686627
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco","N/A"
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",4567675
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5595545221
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",261266226
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Retailing",12940330
"BEZ","BESRA GOLD INC.","2021-10-08","Materials",15192953
"BEZN","BESRA GOLD INC.","2021-10-08","Materials",15192953
